Building,Type,Latitude,Longitude,Street Address 1,City,State,Postal Code,Full Address,Built,Acquired,Current Name,Wheelchair Accessible,Accessibility Notes,Notes
Chapel of the Holy Family,Churches/Chapels,43.03911072,-87.9311025,1442 W Wisconsin Ave,Milwaukee,WI,53233,"1442 W Wisconsin Ave, Milwaukee, WI 53233",,,,,,"Located in the Alumni Memorial Union, the Chapel of the Holy Family is one chapel made up of several components. There is a large liturgical space, a Narthex (gathering space) and a small prayer room where the Blessed Sacrament is reserved. The altar was dedicated and the chapel was blessed by Bishop Leo J. Brust, auxiliary bishop of the Archdiocese of Milwaukee, on Oct. 6, 1990. The formal blessing does not preclude use by other faiths. In fact, the liturgical space was deliberately constructed so that it can be used by all campus religious groups for worship and prayer. In the flexible liturgical space, one can seat between 130–175 people comfortably, depending on the configuration.

The Narthex, or gathering area, also serves as a lounge. In the Narthex one finds a stained glass depiction of the Holy Family. Created by the studio of Francis Xavier Zettler of Munich, this window was originally installed in the University Chapel in Johnston Hall, which opened in 1907."
Church of the Gesu,Churches/Chapels,43.0382308,-87.9272371,1145 W Wisconsin Ave,Milwaukee,WI,53233,"1145 W Wisconsin Ave, Milwaukee, WI 53233",1894,,,,,"Church of the Gesu is a Gothic-style church that was completed and dedicated on Dec. 16, 1894. Twelve years later, Marquette College (as the university was first known) was built next door. The church features a pipe organ built in 1899 that was originally installed in the Studebaker Theater in Chicago. Church of the Gesu acquired this pipe organ in 1908. 

The church is named for the Mother Church of the Society of Jesus in Rome, Chiesa del (Santissimo Nome di) Gesù, which translates to Church of the (Most Holy Name of) Gesu. Today the church, being the Jesuit-sponsored parish of the Archdiocese of Milwaukee, serves all of the city, but maintains a special focus on its surrounding neighborhood, including Marquette University.

The Church of the Gesu and Marquette are separately incorporated, but share a long standing collaborative relationship. While Gesu Parish is staffed by Jesuit priests and lay pastoral associates, from time to time Jesuit priests from the university assist with liturgies, and many university specific events, like the Mass of the Holy Spirit at the start of each school year, are conducted at the church.

The roots of the shared collaborative relationship goes back to when the Jesuits first came to Milwaukee in the early 1850s. The Jesuits were actually successfully running the predecessors of Gesu Parish (St. Gall and Holy Name parishes) well before the university was founded in 1881."
Clark Hall,Academic,43.0368543,-87.9322851,530 N 16th St,Milwaukee,WI,53233,"530 N 16th St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the north entrance of the building.,"Emory T. Clark Hall, named for a Milwaukee philanthropist and located on the west side of campus, is home to the College of Nursing. The 46,000-square-foot building includes office, classroom and laboratory space, including the college's new Wheaton Franciscan Healthcare Center for Clinical Simulation. The center provides a realistic health care environment in which students can strengthen essential clinical competencies, develop sound clinical reasoning and prepare for high-risk situations."
Cobeen Hall,Student Living,43.039442,-87.9260285,1111 W Wells St,Milwaukee,WI,53233,"1111 W Wells St, Milwaukee, WI 53233",1928,,,,,"Cobeen Hall, Marquette’s only all-female residence hall, was formerly the LaSalle Hotel, built in 1928. The residence hall is dedicated to Charles Cobeen, a 1920 Marquette alumnus and long-time student union and university business manager."
Coughlin Hall,Administrative,43.0373978,-87.9284378,607 N 13th St,Milwaukee,WI,53233,"607 N 13th St, Milwaukee, WI 53233",1977,1977,,Yes,"Wheelchair accessible doors without door buttons located at the west, NE, lower west, SW, and SE entrances of the building.","Coughlin Hall is home to the Educational Opportunity Program and Office of Student Educational Services. Completed in 1977, the three-story building is named for Charles L. Coughlin, president of Briggs & Stratton and a 20-year member of Marquette’s former Board of Governors."
Cramer Hall,Academic,43.0374487,-87.9325852,604 N 16th St,Milwaukee,WI,53233,"604 N 16th St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the west and SW entrances of the building.,"Cramer Hall, a three-story brick building, houses the Department of Speech Pathology and Audiology and its Speech and Hearing Clinic. The hall was renovated in 2005 and is named in honor of benefactor Harriet L. Cramer."
Cudahy Hall,Academic,43.0382598,-87.9288459,1313 W Wisconsin Ave,Milwaukee,WI,53233,"1313 W Wisconsin Ave, Milwaukee, WI 53233",1993,1993,,,,"Centrally located to serve students, faculty and staff, Cudahy Hall is home to the Help Desk (Room 293) and the Wired Office (Room 238).

Cudahy (pronounced CUD-a-hay) is located on the south side of North 13th Street and West Wisconsin Avenue at 1313 W. Wisconsin Ave. Cudahy Hall also offers offices for the IT Services Desktop Support team. Visitor parking is available in the Wells Street Parking Structure.

Cudahy Hall, built in 1993, is named for Katharine Reed Cudahy, mother of the building's principal donor, Michael Cudahy. Michael Cudahy is the founder of Marquette Medical Systems, a Milwaukee-based manufacturer of medical diagnostic equipment that is now part of GE Healthcare."
"David A. Straz, Jr., Hall",Academic,43.0377064,-87.9277787,1225 W Wisconsin Ave,Milwaukee,WI,53233,"1225 W Wisconsin Ave, Milwaukee, WI 53233",1951,1951,1984,Yes,Wheelchair accessible door with door button at the west entrance of the building.,"In January 1950, ground was broken for the new College of Business Administration building, and the first classes were held in it in May 1951. The college expanded the building and dedicated it to finance alumnus David A. Straz, Jr., in 1984."
"David A. Straz, Jr., Tower Hall",Student Living,43.03800687,-87.92362475,915 W Wisconsin Ave,Milwaukee,WI,53233,"915 W Wisconsin Ave, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the north entrance of the building.,"David A. Straz, Jr., Tower — previously the central branch of the YMCA Milwaukee — soars 18 stories and offers coed housing to sophomores and Honors Program freshmen. It's also home to Marquette's Rec Plex fitness facility. On the first floor, you’ll find a campus legend, Bob’s Barber Shop. Straz Tower honors Trustee Emeritus David A. Straz, Jr., Bus Ad '65."
"Dr. EJ O'Brien, Jesuit Residence",Administrative,43.0400954,-87.9296885,1345 W Wells St,Milwaukee,WI,53233,"1345 W Wells St, Milwaukee, WI 53233",,,,,,"The new 40,000-square-foot, five-story Dr. E. J. O’Brien Jesuit Residence emphasizes the Jesuits’ commitment to higher education, is environmentally friendly, and remains at the center of Marquette's campus, underscoring the university’s identity and tradition as a Catholic, Jesuit institution. Located on the 1400 block of Wells Street and flanked by the Alumni Memorial Union and Schroeder Hall, the O’Brien Jesuit Residence fits with the university’s long-term vision to reimagine and renovate the center of campus between Wisconsin Avenue and Wells Street."
Eckstein Hall,Academic,43.0370489,-87.9268924,1215 W Michigan St,Milwaukee,WI,53233,"1215 W Michigan St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the NW corner of the building.,"Eckstein Hall is an award winning, LEED-certified [silver level], four-story structure, of approximately 200,000 gross square feet, above a two-level, 170-space parking garage. The light-filled and spacious building features fourteen classrooms, eight conference/seminar rooms, numerous group-study rooms, two courtrooms, faculty suites and offices, a two-story reading room, a conference center, café, fitness center, chapel, two fireplaces, and a library that merges seamlessly into the rest of the building on all four floors. Each year, Eckstein Hall welcomes several thousand visitors and guests from the region to lectures, debates, town-hall meetings, conferences, and for library research—in the words of the Milwaukee Journal Sentinel, “becoming Milwaukee’s public square, where people of different political views can come together and hash out the issues of the day.” The classrooms of Eckstein Hall are equipped with multimedia presentation equipment. Electrical outlets are discreetly available beneath the table tops. Smart podiums have equipment controls built into the podium and conference/seminar rooms have wall mounted equipment controls with LCD displays. All of the public areas of Eckstein Hall have wireless Internet access. In Eckstein Hall, reading and scholarship take place in small group-study rooms and in the open Huiras Lounge, in the silence of the Aitken Reading Room, in the comfort of the fourth-floor gallery overlooking the Marquette interchange—and in many other places as well. Reading and scholarship form the essence of legal education. Essential, too, to both that education and the human spirit are the relationships that future Marquette lawyers form with one another during their time in Eckstein Hall."
Eckstein Hall Parking,Parking Structures,43.03718797,-87.9264248,1215 W Michigan St,Milwaukee,WI,53233,"1215 W Michigan St, Milwaukee, WI 53233",,,,,,"The Ray and Kay Eckstein Hall Parking Structure Policy serves two purposes: (a) The first purpose is to facilitate the parking of members of the public participating in certain law school activities, and spaces therefore will be set aside on a daily basis according to the number and types of Law School events; and (b) beyond this, parking is available on a secondary matter, on a first-come, first-served basis, to Law School students and employees who have paid for University parking. These individuals fall into the category of “permit parkers” as noted on signage outside the entrances to Eckstein Hall parking levels."
Engineering Hall,Academic,43.0383068,-87.9335569,1637 W Wisconsin Ave,Milwaukee,WI,53233,"1637 W Wisconsin Ave, Milwaukee, WI 53233",2011,,,,,"Opened in 2011, Engineering Hall was built to prepare students to be leaders in technology and innovation on the global stage. The building itself is an important teaching tool — showcasing exposed mechanicals and sustainable features — where faculty and students are addressing global challenges of clean water, energy efficiency, healthy children and families, and safe and sustainable infrastructures."
Frenn Building,Student Living,43.0400913,-87.9336718,1615 W Wells St,Milwaukee,WI,53233,"1615 W Wells St, Milwaukee, WI 53233",,,,,,"The Frenn Building has four spacious units — one two-bedroom and three three-bedroom apartments — available for Marquette juniors, seniors and graduate students.

Its location near the Alumni Memorial Union and a variety of local restaurants and businesses gives residents access to key services."
Gesu Parish Center,Churches/Chapels,43.0377384,-87.9272754,1210 W Michigan St,Milwaukee,WI,53233,"1210 W Michigan St, Milwaukee, WI 53233",,,,,,This parish center for this Catholic and Jesuit church is behind Gesu Church.
Gilman Building,Student Living,43.0400954,-87.9339015,1621 W Wells St,Milwaukee,WI,53233,"1621 W Wells St, Milwaukee, WI 53233",,,,,,"The historic Gilman Building has a variety of studio and one-bedroom apartments.

This quaint, quiet living environment is perfect for juniors, seniors or graduate students looking for a mature environment conducive to studying. Its location near the Alumni Memorial Union and a variety of local restaurants and businesses gives residents access to key services. It has three floors and a dedicated apartment manager."
"Haggerty Hall, and Olin Engineering Center",Academic,43.038282,-87.9321781,1515 W Wisconsin Ave,Milwaukee,WI,53233,"1515 W Wisconsin Ave, Milwaukee, WI 53233",1941,,1988,Yes,Wheelchair accessible door with door buttons located at the SW entrance of the building.,"First built in 1941, Haggerty Hall features a first-floor study area, the Engineering Student Success Center, remodled classrooms, modern materials labs, computer labs and several other teaching and research facilities. Connected to Haggerty Hall, the Olin Engineering Center is a four-level facility with engineering labs and offices.  It was named Patrick E. Haggerty Hall in 1988."
Haggerty Museum of Art,Art/Entertainment/Recreation,43.0370269,-87.9277733,1234 W Tory Hill St,Milwaukee,WI,53233,"1234 W Tory Hill St, Milwaukee, WI 53233",1984,,,Yes,Wheelchair accessible doors without door buttons located at the west entrance of the building.,"Admission is free at this campus gem, which features rotating exhibits and a permanent collection, including works by Salvador Dali, Marc Chagall, Andy Warhol and others. The museum is open every day."
Helfaer Tennis Stadium and Recreation Center,Art/Entertainment/Recreation,43.0369396,-87.933417,525 N 16th St,Milwaukee,WI,53233,"525 N 16th St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors without door buttons located at the east entrance of the building.,"Membership to the Helfaer Tennis Stadium and Recreation Center is free to all students, and memberships are available to families of students, faculty, staff and alumni. Facilities include: 6 air-conditioned tennis courts, 2 cardio courts, 1 racquetball court, 1 25-yard swimming pool with 1- and 3-meter diving boards, 5 basketball courts, 1 fitness assessment center, 2 men's locker room areas, 2 women's locker room areas, 5 volleyball courts, 3 badminton courts, 2 group fitness room, 1 weight room, and 2 outdoor sand volleyball courts

A native of Milwaukee, the late Evan P. Helfaer built an outstanding record of corporate and philanthropic leadership. From 1932-57, he served as president of Lakeside Laboratories and guided the pharmaceutical firm to a position of international prominence. 

Many of Helfaer’s gifts memorialize his wife, who died in 1968. Marion Helfaer, like her husband, maintained a lifelong interest in Milwaukee activities, particularly the arts. Evan Helfaer died in February 1974. Rev. John P. Raynor, S.J., Marquette’s president at the time, said in honoring Helfaer, ""We are grateful that he has bequeathed to us his hope for the future and his love for his fellow man."""
Helfaer Theatre,Art/Entertainment/Recreation,43.0367414,-87.9287693,525 N 13th St,Milwaukee,WI,53233,"525 N 13th St, Milwaukee, WI 53233",,,,,,"Constructed with funds donated by local philanthropist Evan P. Helfaer in memory of his late wife, Marion, the university's performing arts majors put on four productions and children's shows each year. "
Holthusen Hall & Varsity Theatre,Administrative,43.0388193,-87.9295623,1324 W Wisconsin Ave,Milwaukee,WI,53233,"1324 W Wisconsin Ave, Milwaukee, WI 53233",1937,1965,1985,Yes,Wheelchair accessible doors with door buttons located at the southeast entrance of the building.,"Holthusen Hall features the renovated 1,154-seat Varsity Theatre, serving as lecture hall, concert venue and cinema at Marquette University. The four-story structure is also home to the Career Services Center, the Counseling Center, the Graduate School, Research and Sponsored Programs, and the Office of International Education. Built in 1937, Holthusen Hall was originally known as the Varsity Building. Marquette University bought the building in 1967 and renamed it in 1985 to honor Henry Holthusen, founder of the Milwaukee Manufacturing Corporation, and his wife Violet."
Humphrey Hall,Student Living,43.0392478,-87.9346192,1716 W Wisconsin Ave,Milwaukee,WI,53233,"1716 W Wisconsin Ave, Milwaukee, WI 53233",,1990,,,,"Humphrey Hall is a residence hall on the west side of campus which houses both first and second year students. It is co-ed by floor. The building consists of double and quad room-types and has 24/7 Security. The building has private bathrooms in each room. Staff in the building include a Residence Hall Director, Hall Minister, 11 Resident Assistants, and a Facilities Manager. 

Originally the site of Children’s Hospital of Wisconsin, Humphrey Hall was purchased by Marquette University and converted in 1990 to apartment-style housing for students. The six-story structure, named after Marquette University trustee and benefactor Glenn Humphrey, was recently renovated and reopened as a suite-style residence hall."
Johnston Hall,Academic,43.038344,-87.9268333,1131 W Wisconsin,Milwaukee,WI,53233,"1131 W Wisconsin, Milwaukee, WI 53233",1907,,,Yes,Wheelchair accessible door with door button accessible at the southeast entrance of the building.,"When Johnston Hall opened in 1907, it was the entirety of Marquette University. It was designed to serve as a one-building university with a two-story library, an auditorium, science laboratories, classrooms and even Jesuit living quarters. Today, it's home to the J. William and Mary Diederich College of Communication and Instructional Media Center. The building honors Robert A. Johnston, a bakery executive and university benefactor."
Krueger Child Care Center,Administrative,43.0365332,-87.9361611,500 N 19th St,Milwaukee,WI,53233,"500 N 19th St, Milwaukee, WI 53233",,,,,,"The Marquette University Child Care Center is an on-site, employer sponsored non-profit organization dedicated to quality care for children of all of those who make up the Marquette University community — students, staff, faculty and alumni."
Lalumiere Language Hall,Academic,43.0366313,-87.9295895,1310 W Clybourn St,Milwaukee,WI,53233,"1310 W Clybourn St, Milwaukee, WI 53233",1970,,1971,Yes,Wheelchair accessible doors with door buttons located at the north and south entrances of the building.,"Lalumiere Language Hall is home to the departments of Foreign Languages and Literatures and Social and Cultural Sciences. Opened in 1970, the four-story building was originally called the Modern Language Building. Marquette renamed it in 1971 to honor Rev. Stanislaus P. Lalumiere, S.J., Marquette’s founding father and university president from 1887–89."
Law Library,Libraries,43.03725728,-87.92730528,1215 West Michigan St,Milwaukee,WI,53233,"1215 West Michigan St, Milwaukee, WI 53233",,,,Yes,Handicap access to Eckstein Hall is available at all entrances. Elevators facing the Zilber Forum provide access to the four floors of the library collection.,"The Ray & Kay Eckstein Law Library, a library without borders that is fully integrated into Eckstein Hall and the law school community on all four floors."
Marquette Gymnasium,Art/Entertainment/Recreation,43.0363106,-87.9320474,1530 W Clybourn St,Milwaukee,WI,53233,"1530 W Clybourn St, Milwaukee, WI 53233",1922,,,Yes,Wheelchair accessible doors without door buttons located at the NW entrance of the building.,"The Marquette Gymnasium offers offices, locker rooms and practice space for varsity cross country, golf, soccer, tennis and track. The facility is also home to Marquette’s Army ROTC and Navy ROTC programs. Built in 1922, the Gym was the men’s basketball practice facility until the Al McGuire Center opened in 2003."
Marquette Hall,Academic,43.0383563,-87.9278883,1217 W Wisconsin Ave,Milwaukee,WI,53233,"1217 W Wisconsin Ave, Milwaukee, WI 53233",1924,,1967,Yes,Wheelchair accessible doors with door buttons located at the east entrance of the building.,"A campus landmark, Marquette Hall features a Gothic bell tower that houses the university carillon which fills campus with music every Wednesday afternoon. The four-story building is home to several offices, including the Departments of English and Theology and the Educational Opportunity Program. Classes are held in three large lecture halls. Finished in 1924, Marquette Hall was originally known as the Science Building. The university renamed the academic hall in 1967 to honor its namesake, Jesuit missionary-explorer Father Jacques Marquette, S.J."
Marquette University Medical Clinic,Administrative,43.037084,-87.929167,1303 W Wisconsin Ave,Milwaukee,WI,53233,"1303 W Wisconsin Ave, Milwaukee, WI 53233",,,,,,"The Marquette University Medical Clinic, in support of the Catholic, Jesuit tradition of cura personalis, or care for the whole person, is committed to advancing the overall health and well-being of our students while at the same time supporting their cognitive, emotional, behavioral and social development. Our services are based on the health needs of the population, are prevention-focused and multidisciplinary."
Marquette University Police Department,Administrative,43.03978522,-87.9331173,749 N 16th St,Milwaukee,WI,53233,"749 N 16th St, Milwaukee, WI 53233",,,,,,"With a combined philosophy of service and prevention, the Marquette University Police Department is dedicated to maintaining a safe environment conducive to learning, living and working at Marquette. More than 80 trained professionals and sworn officers ensure the safety and security of campus and the surrounding neighborhood 24 hours a day, 365 days a year."
Mashuda Hall,Student Living,43.0389468,-87.9373782,1926 W Wisconsin Ave,Milwaukee,WI,53233,"1926 W Wisconsin Ave, Milwaukee, WI 53233",,1980,,,,"Mashuda Hall is a residence hall on the west side of campus which houses approximately both first and second year students. It is co-ed by door The building consists of single, double, triple, and quad room-types and has 24/7 Security. The building has private bathrooms in each room. 

In its previous life, the building was a hotel. The Beatles spent the night on Sept. 4, 1964, after playing to a screaming crowd at the Milwaukee Arena. The exact room John, Paul, George and Ringo stayed in is subject to debate, but it's believed to be somewhere on the seventh floor. Marquette purchased the building in 1980 and remodeled it in 2002, and it is named for university benefactor Josephine Hallman Mashuda."
McCabe Hall,Student Living,43.0389577,-87.9339015,706 N 17th St,Milwaukee,WI,53233,"706 N 17th St, Milwaukee, WI 53233",,,,,,"The McCabe Apartments offer studio and one-bedroom apartments for junior, senior, and graduate students.

Residents enjoy close proximity to the School of Dentistry, Engineering Hall and the College of Nursing. McCabe has 90 units in a vibrant community offering ample study and community space."
O'Donnell Hall,Student Living,43.0394514,-87.9360462,725 N 18th St,Milwaukee,WI,53233,"725 N 18th St, Milwaukee, WI 53233",,1952,1952,,,"O'Donnell Hall is a residence hall on the west side of campus which houses both first and second year students. It is co-ed by floor. The building consists of single, double, and 2 triple room-types and has 24/7 Security. The building has communal bathrooms on every floor. 

O'Donnell Hall was built in 1952 from funds raised by the Association of Marquette University Women and originally was a women's residence hall. It is named for Rev. Edward J. O'Donnell, S.J., Marquette's 18th president."
Physician Assistant Studies,Academic,43.0362553,-87.9344186,507 N 17th St,Milwaukee,WI,53233,"507 N 17th St, Milwaukee, WI 53233",,,,,,"""This state-of-the-art facility will allow us to expand our class to help meet the growing demand for these advanced practice providers, while simultaneously affording increased opportunities for inter-professional education with related health care disciplines.""

The facility will serve as an educational hub for the program's existing and future clinical partners."
Raynor-Memorial Libraries,Libraries,43.0381435,-87.9298505,1355 W Wisconsin,Milwaukee,WI,53233,"1355 W Wisconsin, Milwaukee, WI 53233",2003,,,Yes,Wheelchair accessible doors with door buttons located at the NW and SW entrances of the building.,"Raynor Memorial Libraries offers more than 1.8 million volumes, hundreds of research databases, computer access, laptops on loan, a CD and video collection, seating and group study spaces, 24-hour access, and library staff members who help researchers from around the world. Some of the Department of Special Collections and University Archives' gems include the original manuscripts and multiple working drafts for three of J.R.R. Tolkien's most celebrated books: The Hobbit, Farmer Giles of Ham and The Lord of the Rings. The original half of the building, Memorial Library, opened in 1953. Raynor Library, named after the university's president from 1965–90, Rev. John P. Raynor, S.J., opened in 2003."
Rec Plex,Art/Entertainment/Recreation,43.0378265,-87.9237513,915 W Wisconsin Ave,Milwaukee,WI,53233,"915 W Wisconsin Ave, Milwaukee, WI 53233",,1993,,,,"In the continued commitment to its neighborhood, Marquette University purchased a former YMCA building in the spring of 1993. After renovation and addition of the state-of-the-art equipment, the Rec Plex was opened to the Marquette family and the Milwaukee Community in Straz Tower. The Rec Plex features weight rooms with Cardio Vision and a variety of cardio machines including steppers, recumbent bikes, treadmills, stationary bikes, rowers and ellipticals."
School of Dentistry,Academic,43.0383536,-87.9361611,1801 W Wisconsin Ave,Milwaukee,WI,53233,"1801 W Wisconsin Ave, Milwaukee, WI 53233",2012,,,,,"In September 2012, the university broke ground on a 40,000-square-foot expansion that provides for the school more clinical space and updated state-of-the-art technologies; assists with the retention and recruitment of quality faculty; and allows space for additional students to address future workforce needs.

Features include an additional 24-chair clinic, an expanded faculty practice, a new 5,000-square-foot laboratory for clinical research, an expanded and upgraded simulation laboratory, a midsized technology-rich classroom space, and additional student space, faculty offices, and support space."
Schroeder Complex,Academic,43.0372745,-87.932643,560 N 16th Ave,Milwaukee,WI,53233,"560 N 16th Ave, Milwaukee, WI 53233",1922,,1981,Yes,Wheelchair accessible doors with door buttons located at the NW and SE entrances of the building.,"The Walter Schroeder Health Sciences and Education Complex puts the College of Health Sciences and College of Education under one roof. Marquette University Medical Clinic has a separate entrance on the southeast corner. Started in 1922, the complex was renamed in 1981 to honor hotel executive Walter Schroeder."
Schroeder Hall,Student Living,43.0395548,-87.9291523,725 N 13th St,Milwaukee,WI,53233,"725 N 13th St, Milwaukee, WI 53233",1957,,,,,"Schroeder Hall is a residence hall on the east side of campus which houses second year students! It is co-ed by floor. The building consists of double room-types, communal bathrooms, and has 24/7 Security.

Schroeder opened as a men’s residence hall in 1957 and became coed by floor in 1973. It was fully renovated in 1992. The hall is named for Walter Schroeder (1878–1967), a Marquette benefactor and seven-year member of the Board of Governors."
Sensenbrenner Hall,Administrative,43.0383366,-87.9261164,1103 W Wisconsin,Milwaukee,WI,53233,"1103 W Wisconsin, Milwaukee, WI 53233",1924,,,Yes,Wheelchair accessible doors with door buttons located at the west entrance of the building.,"Sensenbrenner Hall is home to the Klingler College of Arts and Sciences, the Department of History and the Honors Program. Built in 1924, the building is named for benefactor Frank J. Sensenbrenner, a Kimberly-Clark executive."
Service Building,Administrative,43.0361516,-87.9301055,1404 W Clybourn St,Milwaukee,WI,53233,"1404 W Clybourn St, Milwaukee, WI 53233",1920,1959,,,,"The four-story Service Building is home to the Department of Facilities, Planning and Management. Built in 1920, it originally was a warehouse. Marquette purchased it in 1959."
